"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
1188737,-0.8291190534
1190563,-0.8291244909
1192389,-0.8291298458
1194215,-0.8291351874
1196041,-0.8291405712
1197867,-0.8291460505
1199693,-0.8291516817
1201519,-0.8291575276
1203345,-0.8291636738
1205171,-0.8291703179
1206997,-0.8291782609
1208823,-0.829191632
1210649,-0.8292280527
1212475,-0.8292988417
1214301,-0.8293451561
1216127,-0.8293626748
1217953,-0.8293736219
1219779,-0.8293863984
1221605,-0.8294105686
1223431,-0.8294795313
1225257,-0.8297233167
1227083,-0.830456856
1228909,-0.8315045137
1230735,-0.8320561112
1232561,-0.8322193636
1234387,-0.8322654975
1236213,-0.832281933
1238039,-0.8322903108
1239865,-0.8322961329
1241691,-0.8323006342
1243517,-0.832303347
1245343,-0.832360904
1247169,-0.8323648484
1248995,-0.832368502
1250821,-0.8323728143
1252647,-0.8323773361
1254473,-0.832381986
1256299,-0.8323867646
1258125,-0.8323916987
1259951,-0.8323968274
1261777,-0.8324021992
1263603,-0.8324078812
1265429,-0.8324140199
1267255,-0.8324211657
1269081,-0.8324320051
1270907,-0.8324588226
1272733,-0.8325216262
1274559,-0.8325785696
1276385,-0.8326088478
1278211,-0.8326518224
1280037,-0.832785502
1281863,-0.8332420275
1283689,-0.8342204864
1285515,-0.8350263254
1287341,-0.8353171363
1289167,-0.835397357
1290993,-0.8354221643
1292819,-0.8354326219
1294645,-0.8354390018
1296471,-0.8354441547
1298297,-0.8354492247
1300123,-0.8354542369
1301949,-0.8354586496
1303775,-0.8354628669
1305601,-0.835467025
1307427,-0.8354711565
1309253,-0.8354752836
1311079,-0.8354794289
1312905,-0.8354836178
1314731,-0.8354878777
1316557,-0.8354922394
1318383,-0.8354967367
1320209,-0.8355014069
1322035,-0.8355062918
1323861,-0.835511441
1325687,-0.8355169259
1327513,-0.8355228977
1329339,-0.8355298234
1331165,-0.8355395061
1332991,-0.8355596759
1334817,-0.8356186828
1336643,-0.8357619825
1338469,-0.8360955644
