"Hermite4thOrder_time","Hermite4thOrder_energyChange"
43266800,7.948173621e-05
43449360,7.942642738e-05
43631920,7.972937429e-05
43814480,8.031842488e-05
43997040,8.13751497e-05
44179600,8.290260717e-05
44362160,8.349470603e-05
44544720,8.278564945e-05
44727280,8.228497293e-05
44909840,8.22868933e-05
45092400,8.262892254e-05
45274960,8.330067372e-05
45457520,8.447833578e-05
45640080,8.596830544e-05
45822640,8.632588842e-05
46005200,8.554099275e-05
46187760,8.510341779e-05
46370320,8.519287146e-05
46552880,8.558936963e-05
46735440,8.631477074e-05
46918000,8.759297686e-05
47100560,8.898855634e-05
47283120,8.900188749e-05
47465680,8.824881442e-05
47648240,8.795313098e-05
47830800,8.808891659e-05
48013360,8.853781538e-05
48195920,8.936208931e-05
48378480,9.065408153e-05
48561040,9.179051063e-05
48743600,9.159348173e-05
48926160,9.092690233e-05
49108720,9.075137359e-05
49291280,9.097290282e-05
49473840,9.146775712e-05
49656400,9.234888454e-05
49838960,9.364827466e-05
50021520,9.437855405e-05
50204080,9.405196633e-05
50386640,9.356759724e-05
50569200,9.350791749e-05
50751760,9.378214103e-05
50934320,9.43616081e-05
51116880,9.530282678e-05
51299440,9.638275794e-05
51482000,9.680720386e-05
51664560,9.639168715e-05
51847120,9.60958799e-05
52029680,9.617703175e-05
52212240,9.653686561e-05
52394800,9.71884355e-05
52577360,9.813489496e-05
52759920,9.895823e-05
52942480,9.895160454e-05
53125040,9.868791249e-05
53307600,9.858931728e-05
53490160,9.877699444e-05
53672720,9.927538066e-05
53855280,0.0001000076643
54037840,0.0001008382007
54220400,0.0001012302017
54402960,0.0001011111736
54585520,0.0001009348441
54768080,0.0001010431121
54950640,0.0001014152916
55133200,0.0001020020282
55315760,0.0001028197107
55498320,0.0001033839618
55680880,0.0001033890433
55863440,0.0001032257697
56046000,0.0001032340137
56228560,0.0001035069701
56411120,0.0001040133112
56593680,0.000104845342
56776240,0.0001055305485
56958800,0.0001057223063
57141360,0.000105538408
57323920,0.000105399379
57506480,0.0001055847379
57689040,0.0001060341353
57871600,0.0001067828028
58054160,0.0001076882561
58236720,0.0001082422204
58419280,0.0001080161334
58601840,0.000107719409
58784400,0.000107771063
58966960,0.0001080649536
59149520,0.0001086998262
59332080,0.0001096992219
59514640,0.0001106819894
59697200,0.0001107855318
59879760,0.0001103334922
60062320,0.0001101259094
60244880,0.0001102675497
60427440,0.0001107324024
60610000,0.0001115548828
60792560,0.0001127552169
60975120,0.0001136282047
61157680,0.0001132758012
61340240,0.0001127499878
61522800,0.0001126711615
61705360,0.0001129507439
61887920,0.0001135175421
62070480,0.0001145779042
62253040,0.0001159804692
62435600,0.0001163970968
62618160,0.0001157803197
62800720,0.0001153276555
62983280,0.0001153825102
63165840,0.0001157688228
63348400,0.0001165145161
63530960,0.0001177803865
63713520,0.0001191601693
63896080,0.0001191035491
64078640,0.0001183048631
64261200,0.000118048683
64443760,0.0001182358399
64626320,0.0001187212835
64808880,0.0001196383344
64991440,0.0001211439131
65174000,0.0001221744023
65356560,0.0001216256607
65539120,0.0001209669839
65721680,0.0001208631899
65904240,0.0001211614799
66086800,0.00012178119
66269360,0.0001228844904
66451920,0.00012442596
66634480,0.0001249420238
66817040,0.0001241349261
66999600,0.000123678052
67182160,0.0001237523168
67364720,0.0001241390709
67547280,0.000124888361
67729840,0.0001262178947
67912400,0.000127498219
68094960,0.0001274301315
68277520,0.0001266896906
68460080,0.0001264400153
68642640,0.0001266353492
68825200,0.0001271461362
69007760,0.0001280536789
69190320,0.0001294127409
69372880,0.0001302646027
69555440,0.0001297571817
69738000,0.0001292219832
69920560,0.0001292031413
70103120,0.0001295016843
70285680,0.0001301334964
70468240,0.0001312031533
70650800,0.0001323892269
70833360,0.0001325675662
71015920,0.0001320735082
71198480,0.0001317907025
71381040,0.0001319110901
71563600,0.0001323734613
71746160,0.0001331254341
71928720,0.0001342055315
72111280,0.0001349442397
72293840,0.0001347203257
72476400,0.0001343777422
72658960,0.0001343514876
72841520,0.000134647371
73024080,0.0001352066215
73206640,0.0001361154152
73389200,0.0001369408197
73571760,0.0001370876589
73754320,0.0001368545597
73936880,0.0001367121486
74119440,0.0001368950414
74302000,0.0001373581393
74484560,0.0001380954237
74667120,0.0001388944591
74849680,0.000139261196
75032240,0.0001391343527
75214800,0.0001389554389
75397360,0.0001391103393
75579920,0.0001395007803
75762480,0.0001401400631
75945040,0.0001409949954
76127600,0.0001414203778
76310160,0.000141334374
76492720,0.0001411782408
76675280,0.0001412453873
76857840,0.0001415960629
77040400,0.0001422325661
77222960,0.0001431174721
77405520,0.0001436972397
77588080,0.0001436797405
77770640,0.0001434204117
77953200,0.0001433973223
78135760,0.0001436973956
78318320,0.0001442672331
78500880,0.0001451808464
78683440,0.0001460697589
78866000,0.000146189151
79048560,0.0001458105875
79231120,0.0001456412589
79413680,0.0001458291344
79596240,0.0001462858903
79778800,0.0001471690808
79961360,0.0001483157622
80143920,0.0001488477382
80326480,0.0001484852063
80509040,0.0001480641628
80691600,0.0001480949627
80874160,0.0001484554226
81056720,0.0001491619275
81239280,0.0001503334759
81421840,0.000151494892
81604400,0.000151390996
81786960,0.0001507412135
81969520,0.0001505649893
82152080,0.0001507716408
82334640,0.0001513035472
82517200,0.0001523121217
82699760,0.000153749385
82882320,0.0001543780469
83064880,0.0001537313563
83247440,0.0001532210721
83430000,0.0001532515147
83612560,0.0001536372709
83795120,0.0001543913769
83977680,0.0001556890878
84160240,0.0001570985409
84342800,0.0001568989193
84525360,0.0001560966515
84707920,0.000155896372
84890480,0.0001561131697
85073040,0.0001566517809
85255600,0.0001576915222
85438160,0.0001592713932
85620720,0.000159958484
85803280,0.0001592401453
85985840,0.0001586784911
86168400,0.0001587012657
86350960,0.0001590965849
86533520,0.0001598443731
86716080,0.0001611791175
86898640,0.0001626013956
87081200,0.0001624108782
87263760,0.0001616000767
87446320,0.0001613898433
87628880,0.0001616170224
87811440,0.0001621527846
87994000,0.0001631884719
88176560,0.0001647021731
88359120,0.000165285366
88541680,0.0001646484968
88724240,0.0001641371787
88906800,0.0001641755804
89089360,0.0001645735654
89271920,0.0001653320732
89454480,0.0001665751865
89637040,0.0001677509428
89819600,0.0001675679968
90002160,0.0001669146324
90184720,0.0001667788593
90367280,0.0001670178796
90549840,0.0001675701176
90732400,0.0001685788173
90914960,0.0001697844336
91097520,0.0001701637674
91280080,0.0001696660901
91462640,0.0001693448951
91645200,0.0001694445838
91827760,0.000169864157
92010320,0.0001706473772
92192880,0.0001716955445
92375440,0.0001724061528
92558000,0.0001721956951
92740560,0.0001718105413
92923120,0.0001718432429
93105680,0.0001721435882
93288240,0.0001727716163
93470800,0.0001736991961
93653360,0.0001744298845
93835920,0.0001744699193
94018480,0.0001741893117
94201040,0.000174145016
94383600,0.0001743993417
94566160,0.0001749595936
94748720,0.0001757644226
94931280,0.000176462794
95113840,0.0001766416342
95296400,0.0001763975483
95478960,0.0001763681708
95661520,0.0001766231059
95844080,0.000177119874
96026640,0.0001779133036
96209200,0.0001786280835
96391760,0.0001787598317
96574320,0.0001785705278
96756880,0.0001785027493
96939440,0.0001787351041
97122000,0.0001792289464
97304560,0.0001800756288
97487120,0.0001808454747
97669680,0.000181024504
97852240,0.0001807901924
98034800,0.0001806258219
98217360,0.0001808368833
98399920,0.0001813438237
98582480,0.000182157761
98765040,0.0001831827661
98947600,0.0001834938084
99130160,0.0001831122195
99312720,0.0001828810795
99495280,0.0001830086045
99677840,0.0001834400144
99860400,0.0001842643648
100042960,0.0001854623547
100225520,0.000186065863
100408080,0.0001856885187
100590640,0.0001852850093
100773200,0.0001852831577
100955760,0.0001856541156
101138320,0.0001863817388
101320880,0.000187585346
101503440,0.0001886830736
101686000,0.0001884684478
101868560,0.0001878391191
102051120,0.0001877035731
102233680,0.0001879719656
102416240,0.0001885561773
102598800,0.0001896858243
102781360,0.0001911341786
102963920,0.0001913485268
103146480,0.0001906294127
103329040,0.0001902628431
103511600,0.0001904055987
103694160,0.0001908970352
103876720,0.0001918287815
104059280,0.0001933397292
104241840,0.0001942551035
104424400,0.0001935632388
104606960,0.0001929602803
104789520,0.0001929693479
104972080,0.0001933376802
105154640,0.000194085353
105337200,0.0001954803963
105519760,0.0001968697812
105702320,0.000196577468
105884880,0.0001958028922
106067440,0.0001955975119
106250000,0.0001958601687
106432560,0.0001964676396
106615120,0.0001976077699
106797680,0.0001991648806
106980240,0.0001995602544
107162800,0.0001986875823
107345360,0.0001982938379
107527920,0.0001984401732
107710480,0.0001989028466
107893040,0.0001998182447
108075600,0.0002013368081
108258160,0.0002021888895
108440720,0.0002016203814
108623280,0.0002010319399
108805840,0.0002010134579
108988400,0.0002013801705
109170960,0.0002021238814
109353520,0.0002033805258
109536080,0.0002045838411
109718640,0.0002044001558
109901200,0.0002037224724
110083760,0.0002035723523
110266320,0.0002038463554
110448880,0.0002044230257
110631440,0.0002054953833
110814000,0.0002067399741
110996560,0.0002068782073
111179120,0.000206358784
111361680,0.000206094266
111544240,0.0002062558158
111726800,0.0002067596219
111909360,0.0002076478222
112091920,0.0002087371133
112274480,0.0002091874076
112457040,0.000208816759
112639600,0.000208523289
112822160,0.0002086437572
113004720,0.000209074227
113187280,0.0002098074251
113369840,0.0002108171886
113552400,0.0002112926458
113734960,0.0002110770994
113917520,0.0002108711575
114100080,0.0002109372147
114282640,0.0002113321658
114465200,0.0002120267715
114647760,0.0002128749232
114830320,0.0002133440228
115012880,0.0002132002297
115195440,0.0002130397867
115378000,0.0002131340884
115560560,0.0002135514988
115743120,0.000214235582
115925680,0.00021502291
116108240,0.000215453004
116290800,0.0002152626389
116473360,0.000215135124
116655920,0.0002152934731
116838480,0.0002156943317
117021040,0.0002164759451
117203600,0.000217297834
117386160,0.0002176105395
117568720,0.0002174221362
117751280,0.0002172358363
117933840,0.0002174005923
118116400,0.0002178681745
118298960,0.0002186717514
118481520,0.0002196329194
118664080,0.0002199855648
118846640,0.0002196511887
119029200,0.0002194141654
119211760,0.0002195517376
119394320,0.0002200099769
119576880,0.0002208201441
119759440,0.000222008206
119942000,0.0002224578951
120124560,0.0002220197354
120307120,0.0002217114115
120489680,0.000221764961
120672240,0.0002221939435
120854800,0.0002230415087
121037360,0.0002242840403
121219920,0.0002250748182
121402480,0.0002246040102
121585040,0.0002241034631
121767600,0.0002241141412
121950160,0.0002244992525
122132720,0.0002252559241
122315280,0.0002265897219
122497840,0.0002277226754
122680400,0.0002272969201
122862960,0.0002266578372
123045520,0.0002265772908
123228080,0.0002268850379
123410640,0.0002275867242
123593200,0.0002288777114
123775760,0.0002302486228
123958320,0.0002301341616
124140880,0.0002293203274
124323440,0.0002291143827
124506000,0.0002293715632
124688560,0.0002299831159
124871120,0.0002311339478
125053680,0.0002327393308
125236240,0.0002329400659
125418800,0.000232067283
125601360,0.0002317396735
125783920,0.0002319081988
125966480,0.0002324357305
126149040,0.0002334935568
126331600,0.000235059692
126514160,0.0002357083042
126696720,0.0002348788851
126879280,0.0002343811264
127061840,0.0002344846373
127244400,0.0002349462622
127426960,0.0002358452359
127609520,0.0002373679445
127792080,0.0002383124587
127974640,0.0002376230685
128157200,0.0002370422466
128339760,0.0002370599289
128522320,0.0002374392453
128704880,0.0002382457252
128887440,0.0002396335795
129070000,0.0002406807221
129252560,0.0002403210216
129435120,0.000239665933
129617680,0.0002395913381
129800240,0.00023994079
129982800,0.0002406311317
130165360,0.0002418369472
130347920,0.0002430022309
130530480,0.0002427931906
130713040,0.0002422225578
130895600,0.0002421008298
131078160,0.0002423791885
131260720,0.0002429986916
131443280,0.0002440933437
131625840,0.0002451262245
131808400,0.0002451287079
131990960,0.0002446650296
132173520,0.0002445068122
132356080,0.0002447487158
132538640,0.0002453511402
132721200,0.0002462644734
132903760,0.000247210181
133086320,0.0002473074681
133268880,0.0002469015087
133451440,0.0002468346493
133634000,0.0002470670072
133816560,0.0002476318897
133999120,0.0002485083756
134181680,0.0002492515777
134364240,0.0002493292594
134546800,0.0002490741329
134729360,0.0002490424285
134911920,0.000249333709
135094480,0.000249922776
135277040,0.0002507524705
135459600,0.0002513333644
135642160,0.0002513370059
135824720,0.0002511417074
136007280,0.0002511933006
136189840,0.0002515659984
136372400,0.0002521962957
136554960,0.000253028843
136737520,0.0002535085503
136920080,0.0002533322211
137102640,0.0002531908542
137285200,0.0002532977518
137467760,0.0002536994681
137650320,0.0002544890294
137832880,0.0002553477014
138015440,0.000255701474
138198000,0.0002554611751
138380560,0.0002552386812
138563120,0.0002554015156
138745680,0.0002558895044
138928240,0.0002567371231
139110800,0.0002577661798
139293360,0.0002580680341
139475920,0.0002576363409
139658480,0.0002574110254
139841040,0.0002575885734
140023600,0.0002580876905
140206160,0.0002590387372
140388720,0.0002602550987
140571280,0.000260508016
140753840,0.0002599663368
140936400,0.0002596969132
141118960,0.0002598484631
141301520,0.0002603816719
141484080,0.000261379719
141666640,0.0002626956816
141849200,0.000263108194
142031760,0.0002623961532
142214320,0.0002620610468
142396880,0.0002622177766
142579440,0.0002627219554
142762000,0.0002637248582
142944560,0.0002652278494
143127120,0.0002656897243
143309680,0.0002649460523
143492240,0.0002645323677
143674800,0.0002646556928
143857360,0.0002651527203
144039920,0.0002661606222
144222480,0.0002676924179
144405040,0.000268373832
144587600,0.0002675511674
144770160,0.000267062649
144952720,0.0002671795537
145135280,0.0002676491831
145317840,0.0002686061386
145500400,0.0002702212686
145682960,0.0002709808445
145865520,0.0002701688146
146048080,0.000269661515
146230640,0.0002697220145
146413200,0.0002701798376
146595760,0.0002711149652
146778320,0.0002726549274
146960880,0.0002735414965
147143440,0.000272812704
147326000,0.000272228356
147508560,0.0002722870292
147691120,0.0002727273354
147873680,0.0002735904857
148056240,0.0002750939176
148238800,0.0002760340519
148421360,0.0002753494267
148603920,0.0002748105689
148786480,0.000274832824
148969040,0.0002752360736
149151600,0.0002761025687
149334160,0.0002774724456
