"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
84160240,0.9801162057
84342800,0.9801212859
84525360,0.9801482128
84707920,0.9801487319
84890480,0.9801559154
85073040,0.9801554028
85255600,0.9801490257
85438160,0.9804126767
85620720,0.9804101066
85803280,0.9804115429
85985840,0.9804383461
86168400,0.9804485914
86350960,0.9804487012
86533520,0.9804488536
86716080,0.980449014
86898640,0.9804491946
87081200,0.9804519616
87263760,0.9804606342
87446320,0.9804623197
87628880,0.9804814641
87811440,0.9807427518
87994000,0.9807395438
88176560,0.9807392216
88359120,0.9807393475
88541680,0.9807489046
88724240,0.9807513975
88906800,0.9807515427
89089360,0.9807609643
89271920,0.9807810619
89454480,0.9807811709
89637040,0.9807814552
89819600,0.9807876817
90002160,0.9807820499
90184720,0.9810433429
90367280,0.9810384328
90549840,0.9810379814
90732400,0.9810565968
90914960,0.9810673953
91097520,0.9810740095
91280080,0.9810741411
91462640,0.9810754328
91645200,0.9810788344
91827760,0.9810790198
92010320,0.9810790458
92192880,0.9810792966
92375440,0.9811063012
92558000,0.9812560894
92740560,0.9813548065
92923120,0.9813539097
93105680,0.9813573958
93288240,0.9813575634
93470800,0.9813577897
93653360,0.9813647206
93835920,0.9813675582
94018480,0.9813946446
94201040,0.9813950802
94383600,0.981395495
94566160,0.9813993881
94748720,0.9813995525
94931280,0.9814053419
95113840,0.9813991642
95296400,0.9816455588
95478960,0.9816595044
95661520,0.9816711369
95844080,0.981671226
96026640,0.981674696
96209200,0.9816802384
96391760,0.9816826001
96574320,0.9816827172
96756880,0.9816828288
96939440,0.9816830999
97122000,0.9817073517
97304560,0.9817118813
97487120,0.9817135692
97669680,0.9817199903
97852240,0.9819512844
98034800,0.9819581083
98217360,0.981956879
98399920,0.9819567004
98582480,0.9819572028
98765040,0.9819838792
98947600,0.9819911649
99130160,0.981996302
99312720,0.9819967259
99495280,0.9819968546
99677840,0.9819969679
99860400,0.9819970485
100042960,0.9819970216
100225520,0.9819975478
100408080,0.9820286674
100590640,0.9822318028
100773200,0.9822670783
100955760,0.9822657083
101138320,0.9822655252
101320880,0.9822655523
101503440,0.982265622
101686000,0.9822663216
101868560,0.982275678
102051120,0.9823018525
102233680,0.9823052252
102416240,0.9823060542
102598800,0.9823061694
102781360,0.9823062334
102963920,0.9823061654
103146480,0.982308667
103329040,0.9823074362
103511600,0.9825558036
103694160,0.9825698397
103876720,0.9825723638
104059280,0.9825724709
104241840,0.9825725144
104424400,0.9825725775
104606960,0.9825773715
104789520,0.9825792055
104972080,0.9825792561
105154640,0.9825853775
105337200,0.9826091457
105519760,0.9826120659
105702320,0.9826121925
105884880,0.9826121278
106067440,0.9826165721
106250000,0.9826145409
106432560,0.9828529606
106615120,0.9828445029
106797680,0.9828466168
106980240,0.9828728552
107162800,0.9828752452
107345360,0.9828753207
