"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
62983280,0.9354758223
63165840,0.9354978136
63348400,0.9355248587
63530960,0.9355479744
63713520,0.9355746366
63896080,0.9355975597
64078640,0.935634021
64261200,0.9356461857
64443760,0.9356696514
64626320,0.9357006973
64808880,0.9357271244
64991440,0.9357597959
65174000,0.9357845562
65356560,0.9358607594
65539120,0.9358352707
65721680,0.9358585484
65904240,0.9358803219
66086800,0.9359096155
66269360,0.9359329608
66451920,0.9359550643
66634480,0.9359773273
66817040,0.9359979278
66999600,0.9360185074
67182160,0.9361055859
67364720,0.9361025549
67547280,0.9361062223
67729840,0.9361003166
67912400,0.9361452472
68094960,0.9361315781
68277520,0.9361478297
68460080,0.9361661247
68642640,0.9361819822
68825200,0.9361965105
69007760,0.9362386239
69190320,0.936220324
69372880,0.9362335331
69555440,0.9362443352
69738000,0.9362559996
69920560,0.9362699829
70103120,0.9362779342
70285680,0.936287146
70468240,0.9362959383
70650800,0.9363081538
70833360,0.9363171688
71015920,0.9363295594
71198480,0.9363421079
71381040,0.9363489032
71563600,0.9363587231
71746160,0.9363666608
71928720,0.9363792828
72111280,0.9363881787
72293840,0.9363984056
72476400,0.9364084728
72658960,0.9364182011
72841520,0.9364217638
73024080,0.936428642
73206640,0.9364381454
73389200,0.9364451846
73571760,0.9364543412
73754320,0.9364630153
73936880,0.9364726915
74119440,0.9364776549
74302000,0.9364836913
74484560,0.9364939451
74667120,0.9365006779
74849680,0.9365265118
75032240,0.9365194602
75214800,0.9365280754
75397360,0.9365402711
75579920,0.9365398756
75762480,0.9365491422
75945040,0.9365579902
76127600,0.9365661814
76310160,0.9365771675
76492720,0.9365864356
76675280,0.9365970738
76857840,0.9366039835
77040400,0.9366119954
77222960,0.9366194757
77405520,0.9366289986
77588080,0.9366370582
77770640,0.9366646828
77953200,0.9366562928
78135760,0.9366904781
78318320,0.9366736748
78500880,0.9366791068
78683440,0.9367327814
78866000,0.9366974009
79048560,0.9367017576
79231120,0.9367074582
79413680,0.9367148739
79596240,0.9367146404
79778800,0.9367169524
79961360,0.9367183691
80143920,0.9367227673
80326480,0.9367354699
80509040,0.9367274382
80691600,0.936728903
80874160,0.936731916
81056720,0.936736269
81239280,0.936766454
81421840,0.9367442947
81604400,0.9367447871
81786960,0.9367484738
81969520,0.9367507234
82152080,0.9367547567
82334640,0.9367618714
82517200,0.9367610536
82699760,0.9367637869
82882320,0.9367662085
83064880,0.9367690311
83247440,0.9368004376
83430000,0.9367790472
83612560,0.9367784728
83795120,0.9367810925
83977680,0.9367847645
84160240,0.9367896615
84342800,0.9367965493
84525360,0.9367958166
84707920,0.9367967632
84890480,0.9367998371
85073040,0.9368031716
85255600,0.9368077997
85438160,0.9368062602
85620720,0.9368187237
85803280,0.9368089692
85985840,0.9368128579
86168400,0.9368168591
86350960,0.9368151142
86533520,0.936816955
86716080,0.9368188695
86898640,0.9368239035
87081200,0.9368245811
87263760,0.9368254706
87446320,0.9368266195
87628880,0.936829624
87811440,0.9368335027
87994000,0.9368316513
88176560,0.9368341329
88359120,0.936837061
88541680,0.9368418523
88724240,0.9368415368
88906800,0.9368414645
89089360,0.9368434772
89271920,0.9368483716
89454480,0.9368510205
89637040,0.9368489403
89819600,0.9368509274
90002160,0.9368558147
90184720,0.9368553177
90367280,0.9368575175
90549840,0.9368597426
90732400,0.9368607242
90914960,0.9368729356
91097520,0.9368655682
91280080,0.9368654841
91462640,0.9368654708
91645200,0.9368769972
