"Leapfrog_time","Leapfrog_energyChange"
75920427,-4.297171527e-06
76102928,-1.960558105e-07
76285429,-3.726051369e-06
76467930,-1.3538148e-06
76650431,-9.030386283e-06
76832932,-1.284140924e-05
77015433,-1.009439504e-05
77197934,-1.173694241e-06
77380435,-7.560065332e-07
77562936,-2.130480558e-06
77745437,-3.810283526e-06
77927938,-1.788377955e-06
78110439,-1.716927874e-06
78292940,-1.998370834e-06
78475441,-9.55281622e-06
78657942,-1.253573471e-05
78840443,-6.339788356e-06
79022944,-1.699982823e-06
79205445,-3.556718928e-06
79387946,-2.917591257e-06
79570447,-5.347889886e-06
79752948,-4.436693054e-06
79935449,-9.98317646e-08
80117950,-4.203373766e-06
80300451,-1.008327707e-05
80482952,-1.070885116e-05
80665453,-3.413604827e-06
80847954,-4.782537499e-06
81030455,-2.336056087e-06
81212956,-5.273727427e-06
81395457,-9.325384766e-06
81577958,-5.291348125e-06
81760459,-1.671621491e-06
81942960,-3.753304847e-06
82125461,-9.208881517e-06
82307962,-6.296803615e-06
82490463,-4.399411551e-07
82672964,-6.584557659e-06
82855465,-7.632407249e-08
83037966,-8.408532669e-06
83220467,-1.102761026e-05
83402968,-5.815809757e-06
83585469,-8.3980009e-07
83767970,-3.783305479e-06
83950471,-6.262700784e-06
84132972,-3.77914856e-06
84315473,-3.031519786e-06
84497974,-3.788009906e-06
84680475,-3.375171362e-06
84862976,-1.224335313e-05
85045477,-1.156491895e-05
85227978,-5.650519907e-06
85410479,-6.649856403e-07
85592980,-2.223619664e-06
85775481,-3.417491984e-06
85957982,-1.767355733e-06
86140483,-2.036897395e-06
86322984,-1.103662854e-06
86505485,-7.527948855e-06
86687986,-1.320550671e-05
86870487,-1.176334976e-05
87052988,-2.594818901e-06
87235489,-2.516096768e-06
87417990,-1.447756495e-06
87600491,-2.279168912e-06
87782992,-1.653458349e-06
87965493,-2.171824193e-07
88147994,-1.399879248e-06
88330495,-1.003528228e-05
88512996,-1.376115841e-05
88695497,-1.006100746e-05
88877998,-1.128226292e-07
89060499,-5.397312909e-06
89243000,-1.78997153e-06
89425501,-3.144212476e-06
89608002,-4.833851359e-06
89790503,-1.402635355e-06
89973004,-4.149561816e-06
90155505,-1.03915693e-05
90338006,-1.337851876e-05
90520507,-6.281216147e-06
90703008,-3.632773646e-06
90885509,-7.61152054e-06
91068010,-3.285783551e-07
91250511,-6.051479776e-06
91433012,-6.78277195e-06
91615513,-2.853575333e-06
91798014,-4.957460396e-06
91980515,-1.122199255e-05
92163016,-1.090514791e-05
92345517,-3.289123245e-06
92528018,-7.3097273e-06
92710519,-5.563789536e-06
92893020,-2.819620693e-06
93075521,-9.665681412e-06
93258022,-7.057798823e-06
93440523,-3.132076757e-06
93623024,-4.574951222e-06
93805525,-9.994889242e-06
93988026,-7.745500233e-06
94170527,-4.879398934e-07
94353028,-7.554934417e-06
94535529,-2.517495779e-06
94718030,-7.290966431e-06
94900531,-1.062351268e-05
95083032,-7.1285701e-06
95265533,-1.235545025e-06
95448034,-4.220893575e-06
95630535,-6.836245464e-06
95813036,-5.428326707e-06
95995537,-2.482538049e-06
96178038,-4.868171232e-06
96360539,-1.583968779e-06
96543040,-1.075001941e-05
96725541,-1.12622139e-05
96908042,-5.776798295e-06
97090543,-5.401120327e-08
97273044,-2.407430928e-06
97455545,-5.492155625e-06
97638046,-4.016831687e-06
97820547,-3.747007929e-07
98003048,-2.230586833e-06
98185549,-5.850794484e-06
98368050,-1.121672989e-05
98550551,-1.063637396e-05
98733052,-1.655354834e-06
98915553,-2.856307709e-06
99098054,-4.357281288e-07
99280555,-4.855107993e-06
99463056,-4.613736113e-06
99645557,-1.446112886e-06
99828058,-6.695275118e-07
100010559,-7.79214917e-06
100193060,-1.1871405e-05
100375561,-8.057818114e-06
100558062,-1.295125297e-06
100740563,-5.767976253e-06
100923064,-8.028867139e-07
101105565,-6.408473592e-06
101288066,-7.890177105e-06
101470567,-2.623045274e-06
101653068,-3.356500603e-06
101835569,-8.256662896e-06
102018070,-1.093214692e-05
102200571,-3.993892456e-06
102383072,-5.265025078e-06
102565573,-6.578095858e-06
102748074,-3.059752618e-06
102930575,-9.779355669e-06
103113076,-8.997143403e-06
103295577,-3.753974653e-06
103478078,-3.389279819e-06
103660579,-8.442634925e-06
103843080,-7.103767476e-06
104025581,-1.864902966e-07
104208082,-8.433239998e-06
104390583,-4.029624927e-06
104573084,-6.077191054e-06
104755585,-1.264639757e-05
104938086,-9.249818382e-06
105120587,-3.658250707e-06
105303088,-3.451572575e-06
105485589,-6.936704456e-06
105668090,-4.161686611e-06
105850591,-2.833978919e-06
106033092,-6.926117928e-06
106215593,-5.62691191e-07
106398094,-1.022664688e-05
106580595,-1.318033125e-05
106763096,-9.279007115e-06
106945597,-1.442676139e-06
107128098,-2.491363771e-06
107310599,-3.503421127e-06
107493100,-1.713650718e-06
107675601,-3.600502071e-06
107858102,-4.070651717e-06
108040603,-3.254897458e-06
108223104,-1.230993545e-05
108405605,-1.365914864e-05
108588106,-7.307735433e-06
108770607,-8.656619064e-08
108953108,-1.185251765e-07
109135609,-2.603079578e-06
109318110,-1.209485543e-06
109500611,-6.829483809e-07
109683112,-1.816051774e-06
109865613,-6.521667754e-06
110048114,-1.240345784e-05
110230615,-1.259847687e-05
110413116,-3.83018462e-06
110595617,-2.823182395e-06
110778118,-1.935507578e-06
110960619,-2.589284168e-06
