"LeapfrogAdaptive_time","LeapfrogAdaptive_energyChange"
85696000,-1.015330351e-05
85878720,-8.11868336e-06
86061440,-2.343416992e-06
86244160,-5.900988147e-06
86426880,-3.66057936e-06
86609600,-2.453034261e-07
86792320,-7.860429623e-06
86975040,-1.018664071e-05
87157760,-3.059993766e-06
87340480,-7.130421158e-07
87523200,-5.354295799e-06
87705920,-1.269404108e-06
87888640,-5.603387021e-06
88071360,-1.056672006e-05
88254080,-6.964976484e-06
88436800,-1.378026928e-07
88619520,-2.12371531e-06
88802240,-1.027586493e-06
88984960,-6.040523485e-06
89167680,-1.076781774e-05
89350400,-8.236646086e-06
89533120,-3.905728186e-06
89715840,-3.147475312e-06
89898560,-3.298458394e-07
90081280,-2.873621069e-06
90264000,-1.090239659e-05
90446720,-9.602756897e-06
90629440,-3.498479493e-06
90812160,-1.328645884e-06
90994880,-4.095206368e-06
91177600,-2.494372026e-06
91360320,-7.202012142e-06
91543040,-1.153119967e-05
91725760,-5.828917628e-06
91908480,-2.223243427e-06
92091200,-3.877974886e-06
92273920,-3.332651166e-06
92456640,-6.504776081e-06
92639360,-1.021138002e-05
92822080,-8.147259481e-06
93004800,-9.9096861e-07
93187520,-6.833232757e-06
93370240,-3.199327016e-06
93552960,-1.474471281e-07
93735680,-1.193871321e-05
93918400,-1.033776376e-05
94101120,-3.878770747e-06
94283840,-3.832147704e-06
94466560,-8.019401159e-06
94649280,-1.027271762e-06
94832000,-6.082696747e-06
95014720,-1.290728007e-05
95197440,-9.051614642e-06
95380160,-2.003616197e-06
95562880,-4.377234847e-06
95745600,-6.613533501e-06
95928320,-5.531260493e-06
96111040,-1.051353577e-05
96293760,-1.315952097e-05
96476480,-4.547592242e-06
96659200,-4.985715969e-06
96841920,-3.811828214e-06
97024640,-1.463333798e-06
97207360,-1.039943186e-05
97390080,-1.357685167e-05
97572800,-8.147584922e-06
97755520,-8.142173463e-07
97938240,-7.042534256e-06
98120960,-1.172979786e-06
98303680,-3.218696579e-06
98486400,-1.228250618e-05
98669120,-1.068995002e-05
98851840,-6.146634497e-07
99034560,-2.521079522e-06
99217280,-6.938397039e-06
99400000,-2.385706819e-06
99582720,-6.897463063e-06
99765440,-1.052931027e-05
99948160,-4.596963952e-06
100130880,-4.173157104e-06
100313600,-4.150837696e-06
100496320,-3.407231437e-06
100679040,-5.490361626e-06
100861760,-9.321035463e-06
101044480,-4.397295812e-06
101227200,-6.350677921e-07
101409920,-6.959007911e-06
101592640,-1.142704865e-06
101775360,-1.325891385e-06
101958080,-9.163107615e-06
102140800,-6.639943249e-06
102323520,-6.37690309e-07
102506240,-3.175569114e-06
102688960,-5.498957099e-06
102871680,-2.696896876e-06
103054400,-7.520979222e-06
103237120,-8.173545007e-06
103419840,-3.924997731e-06
103602560,-4.128842909e-06
103785280,-2.440786151e-06
103968000,-7.187657095e-07
104150720,-8.80602906e-06
104333440,-1.029128639e-05
104516160,-5.343964393e-06
104698880,-1.94352718e-07
104881600,-5.2853558e-06
105064320,-5.702947527e-07
105247040,-5.627815151e-06
105429760,-1.29524116e-05
105612480,-9.340387603e-06
105795200,-1.253834415e-06
105977920,-3.433510131e-06
106160640,-4.127376493e-06
106343360,-4.012689932e-06
106526080,-1.093264319e-05
106708800,-1.159655794e-05
106891520,-5.521332781e-06
107074240,-4.682382432e-06
107256960,-3.996000732e-06
107439680,-2.255671194e-06
107622400,-9.586507232e-06
107805120,-1.186123098e-05
107987840,-8.741867585e-06
108170560,-8.484144547e-07
108353280,-6.851878443e-06
108536000,-3.709380701e-06
108718720,-2.414512707e-06
108901440,-1.222321103e-05
109084160,-1.120116084e-05
109266880,-2.432522647e-06
109449600,-3.961351595e-06
109632320,-7.519966829e-06
109815040,-1.538725767e-07
109997760,-6.556151262e-06
110180480,-1.316380611e-05
110363200,-6.671329184e-06
110545920,-2.360327313e-06
110728640,-4.969909296e-06
110911360,-4.886527929e-06
111094080,-6.100495383e-06
111276800,-1.078621241e-05
111459520,-1.119879229e-05
111642240,-3.207518069e-06
111824960,-4.103690823e-06
112007680,-2.703789098e-06
112190400,-6.453307097e-07
112373120,-1.084689002e-05
112555840,-1.151839425e-05
112738560,-6.297298802e-06
112921280,-9.112571827e-07
113104000,-4.932511932e-06
113286720,-2.352807604e-06
113469440,-5.084367716e-06
113652160,-1.296403632e-05
113834880,-7.524719356e-06
114017600,-1.168549011e-06
114200320,-2.248891217e-06
114383040,-3.339629175e-06
114565760,-5.337485893e-06
114748480,-8.250818603e-06
114931200,-8.648658887e-06
115113920,-3.080574383e-06
115296640,-4.620742179e-06
115479360,-1.321920195e-06
115662080,-3.674218811e-07
115844800,-9.136660793e-06
116027520,-7.628490139e-06
116210240,-2.972547708e-06
116392960,-2.235820666e-06
116575680,-6.450574349e-06
116758400,-1.109280714e-06
116941120,-4.217009757e-06
117123840,-1.005578922e-05
117306560,-4.817966023e-06
117489280,-3.034382311e-06
117672000,-4.430353205e-06
117854720,-4.631176679e-06
118037440,-5.273542892e-06
118220160,-8.643278921e-06
118402880,-7.563810266e-06
118585600,-8.099625191e-07
118768320,-7.25309416e-06
118951040,-2.555254354e-06
119133760,-4.104812609e-07
119316480,-1.187814334e-05
119499200,-1.039639154e-05
119681920,-3.758314304e-06
119864640,-3.200223156e-06
120047360,-6.980611711e-06
120230080,-2.246033877e-09
120412800,-6.988099769e-06
120595520,-1.388157779e-05
120778240,-9.296600873e-06
120960960,-1.874155003e-06
121143680,-3.796936075e-06
121326400,-5.691377067e-06
121509120,-6.006854392e-06
121691840,-1.15521631e-05
121874560,-1.247938737e-05
122057280,-3.593289766e-06
122240000,-5.31825701e-06
122422720,-5.024398283e-06
122605440,-1.638347854e-06
122788160,-1.014820424e-05
122970880,-1.30110745e-05
123153600,-7.024058118e-06
123336320,-9.040663572e-07
123519040,-7.469378778e-06
123701760,-2.917111532e-06
123884480,-3.378781127e-06
124067200,-1.19062387e-05
124249920,-9.659556455e-06
124432640,-4.388732007e-07
124615360,-4.288021635e-06
124798080,-7.359434272e-06
124980800,-1.730150673e-06
125163520,-6.788375193e-06
125346240,-1.132065329e-05
125528960,-4.320130572e-06
125711680,-3.245984528e-06
125894400,-5.290919852e-06
126077120,-2.771300526e-06
126259840,-5.74160921e-06
126442560,-9.410037226e-06
126625280,-7.256817315e-06
126808000,-1.094721174e-06
126990720,-4.796559759e-06
127173440,-7.412874228e-07
127356160,-2.409207681e-06
127538880,-1.109099646e-05
127721600,-8.41025837e-06
127904320,-3.432904965e-06
128087040,-1.537339861e-06
128269760,-2.680785232e-06
128452480,-3.903873387e-06
128635200,-8.123836465e-06
128817920,-1.155161266e-05
129000640,-5.358618586e-06
129183360,-8.358946514e-07
129366080,-1.186164024e-06
129548800,-5.825761883e-08
129731520,-9.092244153e-06
129914240,-9.622739343e-06
130096960,-7.445267467e-06
130279680,-4.054363901e-07
130462400,-4.09091915e-06
130645120,-7.337917601e-07
130827840,-3.538940383e-06
131010560,-1.294871298e-05
131193280,-7.296765215e-06
131376000,-2.144556596e-06
131558720,-3.884762399e-06
131741440,-4.750356522e-06
131924160,-3.157888259e-06
132106880,-8.097113494e-06
132289600,-1.109074564e-05
132472320,-3.439160188e-06
132655040,-4.637581523e-06
132837760,-4.568672033e-06
133020480,-3.80648882e-06
133203200,-9.203152917e-06
133385920,-9.966928073e-06
133568640,-8.274443914e-06
133751360,-1.627580575e-06
133934080,-7.5022816e-06
134116800,-3.618996218e-06
134299520,-1.583205022e-06
134482240,-1.26526781e-05
134664960,-1.062752712e-05
134847680,-3.101373397e-06
135030400,-3.668121307e-06
135213120,-7.664421125e-06
135395840,-1.681535579e-06
135578560,-6.941558768e-06
135761280,-1.477179586e-05
135944000,-7.656449003e-06
136126720,-2.120108108e-06
136309440,-4.489675474e-06
136492160,-5.030104378e-06
136674880,-7.038418943e-06
136857600,-1.121122563e-05
137040320,-1.232312397e-05
137223040,-2.917451657e-06
137405760,-5.241588698e-06
137588480,-3.576241889e-06
137771200,-3.934508872e-07
137953920,-1.03509423e-05
138136640,-1.198910951e-05
138319360,-5.203044077e-06
138502080,-7.011559119e-07
138684800,-6.861718851e-06
138867520,-4.488137234e-08
139050240,-3.498260423e-06
139232960,-1.203992677e-05
139415680,-6.981702227e-06
139598400,-6.453090885e-07
139781120,-4.30237267e-06
139963840,-5.38731313e-06
140146560,-2.798559758e-06
140329280,-7.296520249e-06
140512000,-7.890109301e-06
140694720,-2.04939246e-06
140877440,-5.213779621e-06
141060160,-3.375390583e-06
141242880,-1.669542017e-06
141425600,-7.90245294e-06
141608320,-7.362031811e-06
141791040,-3.046307898e-06
141973760,-2.159477341e-06
142156480,-5.819284454e-06
142339200,-1.095373661e-07
142521920,-4.63537757e-06
142704640,-1.048268e-05
142887360,-5.323924081e-06
143070080,-5.028623926e-07
143252800,-3.514400114e-06
143435520,-2.389996529e-06
143618240,-5.803264991e-06
143800960,-9.570675838e-06
143983680,-8.86134456e-06
144166400,-2.100536121e-06
144349120,-4.186765617e-06
144531840,-1.688113698e-06
144714560,-1.985410298e-06
144897280,-1.227461572e-05
145080000,-1.0155524e-05
145262720,-5.952831131e-06
145445440,-2.58337035e-06
145628160,-4.556280897e-06
145810880,-6.898333273e-07
145993600,-7.81252683e-06
146176320,-1.383143053e-05
146359040,-8.101757599e-06
146541760,-4.754565369e-07
146724480,-4.557159394e-06
146907200,-4.482082361e-06
147089920,-6.040782591e-06
147272640,-1.016394493e-05
147455360,-1.27234838e-05
147638080,-1.825087359e-06
147820800,-5.109180389e-06
148003520,-5.684772067e-06
148186240,-1.836154936e-06
148368960,-1.014382643e-05
148551680,-1.117896938e-05
148734400,-7.872742227e-06
148917120,-2.789974563e-06
149099840,-7.010391262e-06
149282560,-3.174860017e-06
149465280,-2.812993068e-06
149648000,-1.318361848e-05
149830720,-9.390999828e-06
150013440,-1.713260288e-06
150196160,-4.203611909e-06
150378880,-6.85293721e-06
150561600,-2.942379157e-06
150744320,-7.598113281e-06
150927040,-1.419799931e-05
151109760,-5.261765977e-06
151292480,-1.318972174e-06
151475200,-4.290518932e-06
151657920,-2.781451013e-06
151840640,-7.873321972e-06
152023360,-1.042334242e-05
152206080,-1.005750845e-05
152388800,-2.311443142e-06
152571520,-4.180988577e-06
152754240,-2.981919872e-07
152936960,-1.639962514e-06
153119680,-1.248669502e-05
153302400,-8.959836344e-06
153485120,-4.975893387e-06
153667840,-1.442307029e-06
153850560,-4.242559837e-06
154033280,-3.019487987e-06
154216000,-6.082512669e-06
154398720,-1.128672671e-05
154581440,-5.04017113e-06
154764160,-1.572626315e-06
154946880,-2.942326002e-06
155129600,-2.479305936e-06
155312320,-6.682893399e-06
155495040,-7.549279685e-06
155677760,-6.203862733e-06
155860480,-4.588013352e-07
156043200,-6.262103445e-06
156225920,-1.41854814e-06
156408640,-7.968348004e-07
156591360,-1.035269141e-05
156774080,-6.111269993e-06
156956800,-1.118578109e-06
157139520,-4.640967726e-06
157322240,-5.592641379e-06
157504960,-1.903985066e-06
157687680,-6.592313607e-06
157870400,-1.050915225e-05
158053120,-3.558002803e-06
158235840,-4.52799668e-06
158418560,-4.193308407e-06
158601280,-3.04026802e-06
158784000,-8.82450117e-06
158966720,-1.043869249e-05
159149440,-8.417093057e-06
159332160,-1.362736179e-06
159514880,-6.353809956e-06
159697600,-3.259583637e-06
159880320,-2.891666575e-06
160063040,-1.326326353e-05
160245760,-1.114216351e-05
160428480,-3.321892848e-06
160611200,-3.593175443e-06
160793920,-6.097508186e-06
160976640,-1.494197775e-06
161159360,-8.803867962e-06
161342080,-1.483802186e-05
161524800,-7.029182866e-06
161707520,-1.860504146e-06
161890240,-5.402675147e-06
162072960,-4.515337479e-06
162255680,-6.701580468e-06
162438400,-1.146332546e-05
162621120,-1.203031421e-05
162803840,-1.052450998e-06
162986560,-5.284076144e-06
163169280,-5.865816775e-06
163352000,-2.904649539e-07
163534720,-9.926774718e-06
163717440,-1.06251544e-05
163900160,-5.317615784e-06
164082880,-2.934536554e-06
164265600,-7.387803288e-06
164448320,-1.662155611e-06
164631040,-3.534018348e-06
164813760,-1.237121422e-05
164996480,-6.409851086e-06
165179200,-9.181804348e-07
165361920,-5.537949451e-06
165544640,-4.630335737e-06
165727360,-2.869396502e-06
165910080,-7.444855541e-06
166092800,-1.043510401e-05
166275520,-2.650092516e-06
166458240,-2.839996853e-06
166640960,-3.132422565e-06
166823680,-6.277479164e-07
167006400,-8.867684872e-06
167189120,-8.456567633e-06
167371840,-6.697794354e-06
167554560,-9.219442959e-07
167737280,-3.309752231e-06
167920000,-1.316083197e-06
168102720,-4.790685879e-06
168285440,-1.274730242e-05
168468160,-6.586911218e-06
168650880,-2.982287819e-06
168833600,-2.104355821e-06
169016320,-1.075955064e-06
169199040,-6.406498376e-06
169381760,-8.716694848e-06
169564480,-1.070468302e-05
169747200,-2.440438516e-06
169929920,-2.351410925e-06
170112640,-1.175997341e-06
170295360,-6.099038355e-07
170478080,-1.16283641e-05
170660800,-8.127765659e-06
170843520,-6.150850231e-06
171026240,-3.323647828e-06
171208960,-4.963276831e-06
171391680,-4.251904459e-07
171574400,-4.994302222e-06
171757120,-1.234090389e-05
171939840,-5.775435843e-06
172122560,-1.015133059e-06
172305280,-5.261222541e-06
172488000,-5.531764258e-06
172670720,-5.184075728e-06
172853440,-8.871473665e-06
173036160,-1.173496408e-05
173218880,-1.468050063e-06
173401600,-5.391166451e-06
173584320,-5.486362475e-06
173767040,-2.055575931e-06
173949760,-1.067383204e-05
174132480,-1.069470219e-05
174315200,-8.304532161e-06
174497920,-2.37499981e-06
174680640,-6.955696442e-06
174863360,-2.538871016e-06
175046080,-3.651921593e-06
175228800,-1.418837267e-05
