"Hermite4thOrder_time","Hermite4thOrder_energyChange"
591635,-5.550292783e-06
593461,-5.5664235e-06
595287,-5.584808649e-06
597113,-5.598834546e-06
598939,-5.614250255e-06
600765,-5.633293514e-06
602591,-5.646302345e-06
604417,-5.662574828e-06
606243,-5.680996164e-06
608069,-5.694053627e-06
609895,-5.710946148e-06
611721,-5.727989436e-06
613547,-5.742155011e-06
615373,-5.758433756e-06
617199,-5.775511908e-06
619025,-5.790102383e-06
620851,-5.806118994e-06
622677,-5.823312332e-06
624503,-5.837202922e-06
626329,-5.854346499e-06
628155,-5.870482478e-06
629981,-5.88500077e-06
631807,-5.902810503e-06
633633,-5.917670548e-06
635459,-5.933188058e-06
637285,-5.95040983e-06
639111,-5.965501777e-06
640937,-5.981164299e-06
642763,-5.998690639e-06
644589,-6.013855969e-06
646415,-6.028786034e-06
648241,-6.047425486e-06
650067,-6.061388353e-06
651893,-6.0771418e-06
653719,-6.096256538e-06
655545,-6.109501369e-06
657371,-6.126079901e-06
659197,-6.144362092e-06
661023,-6.158155458e-06
662849,-6.17447303e-06
664675,-6.193077985e-06
666501,-6.207352271e-06
668327,-6.223113101e-06
670153,-6.242292092e-06
671979,-6.255706402e-06
673805,-6.27238707e-06
675631,-6.291142885e-06
677457,-6.304830438e-06
679283,-6.322379141e-06
681109,-6.339831699e-06
682935,-6.35456574e-06
684761,-6.371591094e-06
686587,-6.389124812e-06
688413,-6.4044917e-06
690239,-6.421412537e-06
692065,-6.439234699e-06
693891,-6.453951299e-06
695717,-6.471907498e-06
697543,-6.488699431e-06
699369,-6.504095886e-06
701195,-6.52291727e-06
703021,-6.538527174e-06
704847,-6.555034683e-06
706673,-6.573275207e-06
708499,-6.589014898e-06
710325,-6.60564444e-06
712151,-6.624245317e-06
713977,-6.640266941e-06
715803,-6.656212601e-06
717629,-6.675955074e-06
719455,-6.690755064e-06
721281,-6.707412552e-06
723107,-6.727577672e-06
724933,-6.741753186e-06
726759,-6.759439615e-06
728585,-6.778725549e-06
730411,-6.793489288e-06
732237,-6.810820595e-06
734063,-6.830298915e-06
735889,-6.84560426e-06
737715,-6.862428744e-06
739541,-6.882618568e-06
741367,-6.897073229e-06
743193,-6.914756531e-06
745019,-6.934386052e-06
746845,-6.949094546e-06
748671,-6.967702088e-06
750497,-6.985995655e-06
752323,-7.001941655e-06
754149,-7.019954622e-06
755975,-7.038244127e-06
757801,-7.054728319e-06
759627,-7.072623731e-06
761453,-7.091254948e-06
763279,-7.107050415e-06
765105,-7.126118145e-06
766931,-7.143643736e-06
768757,-7.160026654e-06
770583,-7.179904408e-06
772409,-7.196177367e-06
774235,-7.213761161e-06
776061,-7.232988645e-06
777887,-7.249516986e-06
779713,-7.267111788e-06
781539,-7.286633004e-06
783365,-7.303381249e-06
785191,-7.320194582e-06
787017,-7.340953138e-06
788843,-7.356447656e-06
790669,-7.374043592e-06
792495,-7.395119148e-06
794321,-7.409903097e-06
796147,-7.428479651e-06
797973,-7.448510396e-06
799799,-7.464095206e-06
801625,-7.482221727e-06
803451,-7.50246425e-06
805277,-7.518536659e-06
807103,-7.536017554e-06
808929,-7.556882998e-06
810755,-7.572047008e-06
812581,-7.59056112e-06
814407,-7.610762805e-06
816233,-7.626184597e-06
818059,-7.64555332e-06
819885,-7.664204151e-06
821711,-7.68089794e-06
823537,-7.699531304e-06
825363,-7.71835717e-06
827189,-7.735502678e-06
829015,-7.753970975e-06
830841,-7.773025194e-06
832667,-7.789303517e-06
834493,-7.808988286e-06
836319,-7.826795816e-06
838145,-7.843791081e-06
839971,-7.864242382e-06
841797,-7.880670676e-06
843623,-7.898777755e-06
845449,-7.918329837e-06
847275,-7.935108273e-06
849101,-7.953069921e-06
850927,-7.973031014e-06
852753,-7.989984701e-06
854579,-8.007011329e-06
856405,-8.028074634e-06
858231,-8.043548987e-06
860057,-8.061449804e-06
861883,-8.082690718e-06
863709,-8.097579461e-06
865535,-8.116416217e-06
867361,-8.136310493e-06
869187,-8.151958184e-06
871013,-8.170065006e-06
872839,-8.190285168e-06
874665,-8.20638937e-06
876491,-8.223900773e-06
878317,-8.244616505e-06
880143,-8.259558552e-06
881969,-8.278014722e-06
883795,-8.297820217e-06
885621,-8.313221082e-06
887447,-8.332516489e-06
889273,-8.350701098e-06
891099,-8.367268515e-06
892925,-8.385494745e-06
894751,-8.403862198e-06
896577,-8.420662339e-06
898403,-8.438941122e-06
900229,-8.457516187e-06
902055,-8.473319556e-06
903881,-8.492675425e-06
905707,-8.509693847e-06
907533,-8.526262928e-06
909359,-8.54626189e-06
911185,-8.562059969e-06
913011,-8.579712045e-06
914837,-8.598629325e-06
916663,-8.614688987e-06
